01_BanachTarskiParadox | Mathematical Foundations of the Banach—Tarski Paradox | Banach, S. & Tarski, A. (1924). Fund. Math. 6
01_BanachTarskiParadox | Mathematical Foundations of the Banach—Tarski Paradox | Wu, A. (2008). The Banach-Tarski Paradox.
02_TopologicalInsulators | The Z_2 Topological Invariant | Kane, C. L. & Mele, E. J. (2005). Z_2 Topological Order and the Quantum Spin Hall Effect. Physical Review Letters, 95(14), 146802.
02_TopologicalInsulators | The Z_2 Topological Invariant | Bernevig, B. A., Hughes, T. L., & Zhang, S.-C. (2006). Quantum Spin Hall Effect and Topological Phase Transition in HgTe Quantum Wells. Science, 314(5806), 1757--1761.
03_GoldRelativity | Relativistic Quantum Chemistry and the Color of Gold | Williams, A. O. (1940). A Relativistic Self-Consistent Field for Cu^+. Phys. Rev., 58, 723.
03_GoldRelativity | Relativistic Quantum Chemistry and the Color of Gold | Mayers, D. F. (1957). Relativistic Self-Consistent Field Calculation for Mercury. Proc. R. Soc. Lond. A, 241, 93.
03_GoldRelativity | Relativistic Quantum Chemistry and the Color of Gold | Norrby, L. J. (1991). Why Is Mercury Liquid? Or, why do relativistic effects not get into chemistry textbooks? J. Chem. Educ., 68, 110.
03_GoldRelativity | Relativistic Quantum Chemistry and the Color of Gold | Pyykkö, P., Desclaux, J. P. (1979). Relativity and the periodic system of elements. Acc. Chem. Res., 12 (8), 276-281.
04_EMFieldsEnergyFlow | Electromagnetic Energy Flow Outside Wires | Feynman, R. P., Leighton, R. B., & Sands, M. (1964). The Feynman Lectures on Physics.
04_EMFieldsEnergyFlow | Electromagnetic Energy Flow Outside Wires | Baez, J. C., & Muniain, J. P. (1994). Gauge Fields, Knots and Gravity.
05_CircleWheel | The Phonological Evolution of Labiovelars in the Indo-European Descendants of *kʷékʷlos | Fortson, B. (2010). Indo-European Language and Culture: An Introduction. Wiley-Blackwell.
05_CircleWheel | The Phonological Evolution of Labiovelars in the Indo-European Descendants of *kʷékʷlos | Ringe, D. (2006). From Proto-Indo-European to Proto-Germanic. Oxford University Press.
05_CircleWheel | The Phonological Evolution of Labiovelars in the Indo-European Descendants of *kʷékʷlos | Online Etymology Dictionary: https://www.etymonline.com/
06_GravityTimeDilation | Gravity as Curved Time | Carroll, S. (2004). Spacetime and Geometry: An Introduction to General Relativity.
06_GravityTimeDilation | Gravity as Curved Time | Peacock, J. (2021). PHYS11010: General Relativity.
06_GravityTimeDilation | Gravity as Curved Time | Hobson, M. P., Efstathiou, G., & Lasenby, A. N. (2006). General Relativity: An Introduction for Physicists.
07_BilliardsConicsPorism | Large Poncelet’s Theorem for Two Ellipses | Leopold Flatto, Poncelet's Theorem. Mathematical Surveys and Monographs, Vol. 56. American Mathematical Society, 2009 (beautiful book!)
07_BilliardsConicsPorism | Large Poncelet’s Theorem for Two Ellipses | For visualization, see https://bit.ly/poporismbit.ly/poporism.
08_BoundedPrimeGaps | Bounded Gaps Between Primes | Zhang, Y. (2014). Bounded gaps between primes. Annals of Mathematics, 179(3), 1121–1174.
08_BoundedPrimeGaps | Bounded Gaps Between Primes | Maynard, J. (2015). Small gaps between primes. Annals of Mathematics, 181(1), 383–413.
09_ArrowTheoremTopology | Topological Proof of Arrow's Impossibility Theorem | Arrow, K. J. (1963). Social Choice and Individual Values. Wiley.
09_ArrowTheoremTopology | Topological Proof of Arrow's Impossibility Theorem | Baryshnikov, Y. (1997). Topological and discrete social choice: in a search of a theory. Social Choice and Welfare, 14(2), 199--209.
09_ArrowTheoremTopology | Topological Proof of Arrow's Impossibility Theorem | Saari, D. G. (1994). Geometry of Voting. Springer.
10_SolarFusionQuantumTunneling | Quantum Tunneling in Stellar Fusion | Bethe, H. A. (1939). Energy Production in Stars. Phys. Rev., 55, 434–456.
10_SolarFusionQuantumTunneling | Quantum Tunneling in Stellar Fusion | Clayton, D. D. (1983). Principles of Stellar Evolution and Nucleosynthesis. University of Chicago Press.
11_AcceleratingUniverse | The Cosmological Constant Problem: Quantum Vacuum Energy vs. Observations | Weinberg, S. (1989). The cosmological constant problem. Rev. Mod. Phys., 61, 1.
11_AcceleratingUniverse | The Cosmological Constant Problem: Quantum Vacuum Energy vs. Observations | Carroll, S. M. (2001). The cosmological constant. Living Rev. Relativ., 4, 1.
11_AcceleratingUniverse | The Cosmological Constant Problem: Quantum Vacuum Energy vs. Observations | Padmanabhan, T. (2003). Cosmological constant — the weight of the vacuum. Phys. Rep., 380, 235.
12_GSMEncryptionOrder | Toy GSM‑Style Frame: How Post‑Encoding XOR Leaks Keystream | Barkan, E.;Biham, E.;Keller, N. "Instant Ciphertext‑Only Cryptanalysis of GSM Encrypted Communication." Journal of Cryptology 21 (3), 392–429 (2008).
13_PoissonsSpot | Mathematical Analysis of the Arago Spot | Born, M. and Wolf, E. (1999). Principles of Optics, 7th ed. Cambridge University Press.
13_PoissonsSpot | Mathematical Analysis of the Arago Spot | Feynman, R. P., Leighton, R. B., & Sands, M. (1965). The Feynman Lectures on Physics, Vol. III.
14_CompactTwinParadox | The Twin Paradox and Chirality in Globally Identified Spacetimes | Misner, C. W., Thorne, K. S., Wheeler, J. A. (1973). Gravitation. Freeman.
14_CompactTwinParadox | The Twin Paradox and Chirality in Globally Identified Spacetimes | Geroch, R. (1967). J. Math. Phys., 8.
14_CompactTwinParadox | The Twin Paradox and Chirality in Globally Identified Spacetimes | Isham, C. J. (1989). Modern Differential Geometry for Physicists. World Scientific.
15_EnvelopeParadox | Resolving the Envelope Paradox | Nalebuff, B. (1989). The Other Person's Envelope Is Always Greener. J. Econ. Persp., 3(1), 171--181.
16_FalseVacuumThreat | False Vacuum Decay: Mathematical Formulation | Coleman & De Luccia, Phys. Rev. D 21, 3305 (1980).
16_FalseVacuumThreat | False Vacuum Decay: Mathematical Formulation | Degrassi et al., JHEP 08, 098 (2012).
17_BigNumbers | Hierarchy of Growth Rates | M. H. Löb and S. S. Wainer, "Hierarchies of number-theoretic functions I/II," Archiv für mathematische Logik und Grundlagenforschung (1970–72).
17_BigNumbers | Hierarchy of Growth Rates | H. Friedman, "Finite forms of Kruskal's theorem," Journal of Combinatorial Theory, Series A 95, 102–144 (2001).
18_SpeculativeExecutionAttacks | Spectre and Meltdown: Mechanics and Leakage Rates | Kocher et al. (2018). Spectre Attacks: Exploiting Speculative Execution. arXiv:1801.01203.
